years,Scenarios,sst,changes in coral cover
2022,SSP126,27.60327784,1
2023,SSP126,27.40381114,1
2024,SSP126,27.57938067,0.985495104
2025,SSP126,27.49357478,0.985495104
2026,SSP126,27.85175657,0.956427905
2027,SSP126,27.27868493,0.956427905
2028,SSP126,27.48213625,0.940278157
2029,SSP126,27.46739944,0.940278157
2030,SSP126,28.02202415,0.897293403
2031,SSP126,27.63697974,0.897293403
2032,SSP126,27.92945417,0.8757949
2033,SSP126,27.72234249,0.8757949
2034,SSP126,27.85003138,0.866662141
2035,SSP126,27.69121838,0.866662141
2036,SSP126,27.64240588,0.866662141
2037,SSP126,28.00931215,0.840618269
2038,SSP126,27.58417781,0.840618269
2039,SSP126,27.59745804,0.839702005
2040,SSP126,27.53705629,0.839702005
2041,SSP126,27.85811647,0.817536861
2042,SSP126,27.75416263,0.817536861
2043,SSP126,27.78957764,0.815175062
2044,SSP126,27.40572087,0.815175062
2045,SSP126,27.77070077,0.790596581
2046,SSP126,27.68254534,0.790596581
2047,SSP126,27.58774932,0.790596581
2048,SSP126,27.31145318,0.790596581
2049,SSP126,27.79148515,0.759136727
2050,SSP126,27.50492016,0.759136727
2051,SSP126,27.93183454,0.732460352
2052,SSP126,27.63501787,0.732460352
2053,SSP126,27.17337561,0.732460352
2054,SSP126,27.67577537,0.70180076
2055,SSP126,27.7312301,0.698617082
2056,SSP126,28.02424208,0.68190495
2057,SSP126,27.97038571,0.68190495
2058,SSP126,28.0171202,0.679325427
2059,SSP126,28.1584568,0.67156679
2060,SSP126,27.96121931,0.67156679
2061,SSP126,28.06818485,0.665750401
2062,SSP126,28.21631606,0.657795769
2063,SSP126,28.1111412,0.657795769
2064,SSP126,27.85527229,0.657795769
2065,SSP126,27.65768242,0.657795769
2066,SSP126,28.02143097,0.638209443
2067,SSP126,28.04018815,0.637242241
2068,SSP126,28.00938702,0.637242241
2069,SSP126,27.91215738,0.637242241
2070,SSP126,28.44850747,0.609519515
2071,SSP126,28.13944022,0.609519515
2022,SSP585,27.35908159,0.995334611
2023,SSP585,27.28555346,0.995334611
2024,SSP585,27.16975371,0.995334611
2025,SSP585,27.54363028,0.964325588
2026,SSP585,27.37332344,0.964325588
2027,SSP585,27.52893209,0.951914601
2028,SSP585,27.74069293,0.935336656
2029,SSP585,28.12255637,0.906186885
2030,SSP585,27.37641255,0.906186885
2031,SSP585,27.64946365,0.885724248
2032,SSP585,27.91790771,0.86625532
2033,SSP585,27.72713137,0.86625532
2034,SSP585,27.94454447,0.850877204
2035,SSP585,27.63685942,0.850877204
2036,SSP585,27.75451205,0.842676403
2037,SSP585,27.69323651,0.842676403
2038,SSP585,27.41380707,0.842676403
2039,SSP585,27.35737975,0.842676403
2040,SSP585,27.9644448,0.800341557
2041,SSP585,27.1700592,0.800341557
2042,SSP585,27.33398946,0.789409036
2043,SSP585,27.99692059,0.746063547
2044,SSP585,28.42398421,0.720298286
2045,SSP585,28.56575553,0.712164509
2046,SSP585,28.32347123,0.712164509
2047,SSP585,28.34425894,0.710981149
2048,SSP585,27.97443056,0.710981149
2049,SSP585,28.99881601,0.652037549
2050,SSP585,28.05688492,0.652037549
2051,SSP585,28.61389526,0.62273045
2052,SSP585,28.59509039,0.62273045
2053,SSP585,28.37081639,0.62273045
2054,SSP585,28.3346653,0.62273045
2055,SSP585,29.18047047,0.580645311
2056,SSP585,28.42907556,0.580645311
2057,SSP585,28.54741844,0.575173051
2058,SSP585,28.89335569,0.559393107
2059,SSP585,29.14603678,0.548317481
2060,SSP585,28.38770628,0.548317481
2061,SSP585,28.53064299,0.542066877
2062,SSP585,28.79681238,0.530617658
2063,SSP585,28.29241339,0.530617658
2064,SSP585,28.85433451,0.50675804
2065,SSP585,28.57476664,0.50675804
2066,SSP585,28.66126394,0.503285103
2067,SSP585,28.74442816,0.499978884
2068,SSP585,28.5271368,0.499978884
2069,SSP585,28.57788006,0.497965399
2070,SSP585,28.8114384,0.488751553
2071,SSP585,28.94801156,0.483506318
