Groups,basic-TL,basic-Biomass,S1-F0-TL,S1-F0-Biomass,S1-F0.2-TL,S1-F0.2-Biomass,S1-F0.4-TL,S1-F0.4-Biomass,S1-F0.6-TL,S1-F0.6-Biomass,S1-F0.8-TL,S1-F0.8-Biomass,S1-Fsq-TL,S1-Fsq-Biomass,S2-F0-TL,S2-F0-Biomass,S2-F0.2-TL-,S2-F0.2-Biomass,S2-F0.4-TL,S2-F0.4-Biomass,S2-F0.6-TL,S2-F0.6-Biomass,S2-F0.8-TL,S2-F0.8-Biomass,S2-Fsq-TL,S2-Fsq-Biomass
F1,3.261283,0.003,3.226408,0.003460005,3.22352,0.003461635,3.220667,0.003464087,3.21785,0.003467384,3.215071,0.003471556,3.212331,0.003476629,3.216285,0.003196213,3.213394,0.003200306,3.210548,0.003205134,3.207721,0.003210717,3.204899,0.003217079,3.202107,0.003224251
F2,2.575249,0.02,2.62097,0.01006047,2.618506,0.01033615,2.616021,0.01063264,2.613513,0.01095133,2.610982,0.01129355,2.608425,0.01166072,2.676161,0.01212044,2.67379,0.01245524,2.671403,0.01280697,2.669023,0.01317674,2.666657,0.0135637,2.664285,0.01396882
F3,3.780226,0.2516403,3.790706,0.2643651,3.780914,0.2544298,3.771209,0.244545,3.761588,0.2347055,3.752054,0.2249055,3.742605,0.2151395,3.786576,0.1859003,3.775931,0.1774186,3.765361,0.1690444,3.754872,0.1607704,3.744463,0.1525918,3.734127,0.1445093
F4,3.515802,2.354839,3.477167,2.08273,3.474995,2.062186,3.472861,2.042174,3.470767,2.0227,3.468716,2.003772,3.466707,1.9854,3.457686,1.35928,3.455374,1.344942,3.453106,1.331038,3.450873,1.317506,3.448673,1.304308,3.446514,1.291499
F5,3.229519,5.957767,3.211273,5.510123,3.208923,5.400084,3.2066,5.289784,3.204308,5.179205,3.202045,5.068328,3.199815,4.957134,3.216082,4.210158,3.213496,4.109266,3.21094,4.008353,3.208394,3.907347,3.20585,3.806204,3.203327,3.704954
F6,2.692733,9.415207,2.661831,7.640944,2.65974,7.619348,2.657663,7.598213,2.655597,7.577545,2.653547,7.557347,2.65151,7.537626,2.669108,4.455229,2.666867,4.441565,2.664629,4.427843,2.662409,4.414712,2.660217,4.40258,2.65804,4.39093
F7,2.645831,2.5,2.592419,1.471388,2.591534,1.490938,2.590658,1.511027,2.589791,1.531666,2.588935,1.552864,2.588089,1.574631,2.604795,0.7397287,2.604206,0.7738902,2.603626,0.808849,2.603049,0.8441727,2.60247,0.8796439,2.6019,0.9156291
F8,2.155556,1.493,2.119918,1.234843,2.120168,1.225558,2.120423,1.216244,2.120681,1.2069,2.120944,1.197522,2.121212,1.188108,2.125152,0.8368732,2.125433,0.8343711,2.125719,0.8319479,2.126014,0.8296123,2.126318,0.8273737,2.12663,0.8252383
F9,2.210845,15.02872,2.186132,13.26187,2.185611,13.17773,2.185092,13.0929,2.184577,13.00738,2.184066,12.92118,2.183558,12.8343,2.201644,7.331708,2.201076,7.282611,2.20051,7.232726,2.199956,7.182082,2.199417,7.130716,2.198886,7.078587
F10,2.277812,9.23707,2.253495,8.885512,2.252218,8.922905,2.25094,8.960939,2.249662,8.999624,2.248384,9.038971,2.247107,9.078989,2.251911,7.611909,2.250799,7.628017,2.249682,7.644806,2.248567,7.66221,2.247457,7.680158,2.246346,7.698702
F11,2.425002,4.3,2.436372,4.388855,2.435148,4.363499,2.433935,4.338098,2.432732,4.312653,2.431538,4.287164,2.430356,4.261633,2.472076,3.789757,2.470492,3.762659,2.468915,3.735419,2.467363,3.708424,2.465842,3.68186,2.464338,3.65541
F12,2.458182,17.98146,2.359781,11.69655,2.360018,11.72217,2.360258,11.74794,2.360501,11.77385,2.360748,11.79991,2.360997,11.82613,2.368382,6.750848,2.368656,6.774601,2.368932,6.798613,2.369223,6.822896,2.369532,6.847439,2.369852,6.872209
F13,2.105795,9.96,2.121719,10.66869,2.121142,10.5973,2.120569,10.525,2.119999,10.45175,2.119433,10.37755,2.11887,10.30238,2.134312,9.007786,2.133599,8.939322,2.13289,8.869987,2.132195,8.800443,2.131518,8.730847,2.130851,8.660615
F14,2.050505,47.3223,2.058089,28.84386,2.05832,28.84386,2.058553,28.84386,2.05879,28.84386,2.05903,28.84386,2.059273,28.84386,2.062365,22.88063,2.062617,22.88063,2.062871,22.88063,2.063134,22.88063,2.063406,22.88063,2.063684,22.88063
F15,2.010101,1.67,2.011703,1.929603,2.011754,1.938651,2.011806,1.947839,2.01186,1.95717,2.011913,1.966649,2.011968,1.976278,2.012687,1.837521,2.012745,1.846393,2.012803,1.855391,2.012863,1.86465,2.012925,1.874229,2.012989,1.884022
F16,1,8.817,1,8.867826,1,8.869515,1,8.871241,1,8.873004,1,8.874804,1,8.876644,1,7.916323,1,7.918351,1,7.920419,1,7.922445,1,7.92439,1,7.926316
F17,1,64.62,1,62.63399,1,62.63416,1,62.6338,1,62.63288,1,62.63141,1,62.62936,1,47.22237,1,47.20893,1,47.19484,1,47.18132,1,47.16886,1,47.15643
F18,1,38.68076,1,38.12962,1,38.12057,1,38.11084,1,38.10043,1,38.08931,1,38.07749,1,36.45724,1,36.43446,1,36.41069,1,36.38736,1,36.36505,1,36.34259
F19,1,315,1,313.5805,1,313.8289,1,314.0822,1,314.3405,1,314.6038,1,314.8723,1,275.3415,1,275.5713,1,275.8052,1,276.0426,1,276.2833,1,276.5277
