year,F0.8,F0.6,F0.4,F0.2,F0,Fsq
2022,0.98,0.96,0.94,0.92,0.9,1
2023,0.96,0.92,0.88,0.84,0.8,1
2024,0.94,0.88,0.82,0.76,0.7,1
2025,0.92,0.84,0.76,0.68,0.6,1
2026,0.9,0.8,0.7,0.6,0.5,1
2027,0.88,0.76,0.64,0.52,0.4,1
2028,0.86,0.72,0.58,0.44,0.3,1
2029,0.84,0.68,0.52,0.36,0.2,1
2030,0.82,0.64,0.46,0.28,0.1,1
2031,0.8,0.6,0.4,0.2,0,1
2032,0.8,0.6,0.4,0.2,0,1
2033,0.8,0.6,0.4,0.2,0,1
2034,0.8,0.6,0.4,0.2,0,1
2035,0.8,0.6,0.4,0.2,0,1
2036,0.8,0.6,0.4,0.2,0,1
2037,0.8,0.6,0.4,0.2,0,1
2038,0.8,0.6,0.4,0.2,0,1
2039,0.8,0.6,0.4,0.2,0,1
2040,0.8,0.6,0.4,0.2,0,1
2041,0.8,0.6,0.4,0.2,0,1
2042,0.8,0.6,0.4,0.2,0,1
2043,0.8,0.6,0.4,0.2,0,1
2044,0.8,0.6,0.4,0.2,0,1
2045,0.8,0.6,0.4,0.2,0,1
2046,0.8,0.6,0.4,0.2,0,1
2047,0.8,0.6,0.4,0.2,0,1
2048,0.8,0.6,0.4,0.2,0,1
2049,0.8,0.6,0.4,0.2,0,1
2050,0.8,0.6,0.4,0.2,0,1
2051,0.8,0.6,0.4,0.2,0,1
2052,0.8,0.6,0.4,0.2,0,1
2053,0.8,0.6,0.4,0.2,0,1
2054,0.8,0.6,0.4,0.2,0,1
2055,0.8,0.6,0.4,0.2,0,1
2056,0.8,0.6,0.4,0.2,0,1
2057,0.8,0.6,0.4,0.2,0,1
2058,0.8,0.6,0.4,0.2,0,1
2059,0.8,0.6,0.4,0.2,0,1
2060,0.8,0.6,0.4,0.2,0,1
2061,0.8,0.6,0.4,0.2,0,1
2062,0.8,0.6,0.4,0.2,0,1
2063,0.8,0.6,0.4,0.2,0,1
2064,0.8,0.6,0.4,0.2,0,1
2065,0.8,0.6,0.4,0.2,0,1
2066,0.8,0.6,0.4,0.2,0,1
2067,0.8,0.6,0.4,0.2,0,1
2068,0.8,0.6,0.4,0.2,0,1
2069,0.8,0.6,0.4,0.2,0,1
2070,0.8,0.6,0.4,0.2,0,1
2071,0.8,0.6,0.4,0.2,0,1
