NO,S1_F0,S1_F0.2,S1_F0.4,S1_F0.6,S1_F0.8,S1_Fsq,S2_F0,S2_F0.2,S2_F0.4,S2_F0.6,S2_F0.8,S2_Fsq
F1,15.3335,15.3878333,15.4695667,15.5794667,15.7185333,15.8876333,6.5404333,6.6768667,6.8378,7.0239,7.2359667,7.4750333
F2,-49.69765,-48.31925,-46.8368,-45.24335,-43.53225,-41.6964,-39.3978,-37.7238,-35.96515,-34.1163,-32.1815,-30.1559
F3,5.0567417,1.1085267,-2.8196199,-6.7297647,-10.6242124,-14.5051488,-26.1245913,-29.4951564,-32.8230017,-36.1110283,-39.3611437,-42.5730696
F4,-11.5553123,-12.4277286,-13.2775532,-14.1045311,-14.9083228,-15.6885035,-42.2771578,-42.8860317,-43.4764755,-44.051122,-44.6115849,-45.1555287
F5,-7.5136205,-9.3606044,-11.2119692,-13.0680169,-14.9290665,-16.7954369,-29.3332888,-31.0267421,-32.7205478,-34.4159146,-36.1135808,-37.813043
F6,-18.8446521,-19.0740257,-19.2985029,-19.5180202,-19.7325454,-19.9420045,-52.6804987,-52.8256256,-52.9713686,-53.1108344,-53.2396898,-53.3634258
F7,-41.14448,-40.36248,-39.55892,-38.73336,-37.88544,-37.01476,-70.410852,-69.044392,-67.64604,-66.233092,-64.814244,-63.374836
F8,-17.2911587,-17.913061,-18.5369056,-19.1627595,-19.7908908,-20.4214334,-43.9468721,-44.1144608,-44.2767649,-44.4332016,-44.5831413,-44.7261688
F9,-11.7564902,-12.3163516,-12.8808042,-13.449848,-14.0234165,-14.6015096,-51.215353,-51.5420408,-51.873972,-52.2109534,-52.552739,-52.8996016
F10,-3.8059471,-3.4011326,-2.9893787,-2.570577,-2.1446086,-1.711376,-17.5939015,-17.4195172,-17.2377605,-17.0493457,-16.8550417,-16.6542854
F11,2.0663953,1.4767209,0.886,0.2942558,-0.2985116,-0.8922558,-11.8661163,-12.4963023,-13.1297907,-13.7575814,-14.3753488,-14.9904651
F12,-34.9521674,-34.8096873,-34.666373,-34.5222802,-34.3773531,-34.2315363,-62.4566192,-62.324522,-62.1909845,-62.0559398,-61.9194493,-61.7816963
F13,7.1153614,6.3985944,5.6726908,4.937249,4.1922691,3.4375502,-9.5603815,-10.2477711,-10.9439056,-11.6421386,-12.3408936,-13.0460341
F14,-39.0480598,-39.0480598,-39.0480598,-39.0480598,-39.0480598,-39.0480598,-51.6493704,-51.6493704,-51.6493704,-51.6493704,-51.6493704,-51.6493704
F15,15.5450898,16.0868862,16.6370659,17.1958084,17.7634132,18.34,10.0311976,10.5624551,11.1012575,11.6556886,12.2292814,12.8156886
F16,0.5764546,0.5956108,0.6151866,0.635182,0.6555971,0.6764659,-10.2152319,-10.1922309,-10.1687762,-10.1457979,-10.1237382,-10.1018941
F17,-3.0733674,-3.0731043,-3.0736614,-3.0750851,-3.07736,-3.0805323,-26.9229805,-26.943779,-26.9655834,-26.9865057,-27.0057877,-27.0250232
F18,-1.4248427,-1.4482394,-1.473394,-1.5003066,-1.5290548,-1.5596126,-5.7483876,-5.8072799,-5.8687316,-5.9290459,-5.9867231,-6.0447882
F19,-0.4506349,-0.3717778,-0.2913651,-0.2093651,-0.1257778,-0.0405397,-12.59,-12.5170476,-12.4427937,-12.3674286,-12.2910159,-12.2134286
