, F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18
F1,0,1.94E-05,4.25E-05,-0.000214837,-0.000141186,-6.69E-05,-8.10E-05,-9.91E-05,5.69E-06,1.19E-05,8.77E-06,1.72E-05,-2.37E-06,1.68E-05,-0.000164844,-6.91E-05,-6.10E-05,-6.20E-05
F2,-1.94E-05,0,0.003,-1.72E-05,1.97E-06,-1.57E-05,-1.70E-06,-5.91E-06,-1.74E-05,-1.33E-05,-0.000462152,-1.62E-05,-0.000288953,-1.55E-05,-0.00019146,-0.000204967,-0.000461022,-0.000568702
F3,-4.25E-05,-0.003,0,-0.001813162,-0.001271427,-0.000970015,-0.000797423,-0.000226967,-0.00038898,-0.000253157,-0.000507219,-0.000134719,-0.000174018,-0.000103509,-8.54E-05,-0.00022063,-0.000292715,-0.000314102
F4,0.000214837,1.72E-05,0.001813162,0,0.00010469,-0.000629827,-0.000509197,-0.000322721,-0.000272525,-0.00026451,-0.000395808,-9.38E-05,-0.000164549,-5.60E-05,-6.16E-05,-0.000218884,-0.000280462,-0.000301355
F5,0.000141186,-1.97E-06,0.001271427,-0.00010469,0,-0.00049859,-0.000472388,-0.000554992,-0.000321715,-0.000260881,-0.000243645,-5.58E-05,-0.000209978,-0.000165654,-0.000108901,-0.000251184,-0.000311119,-0.000292546
F6,6.69E-05,1.57E-05,0.000970015,0.000629827,0.00049859,0,0.000144702,-3.27E-05,-0.000181686,-9.67E-05,-0.000153762,-0.00021907,-9.51E-05,-0.000116386,-6.28E-05,-0.00022195,-0.000351008,-0.000401502
F7,8.10E-05,1.70E-06,0.000797423,0.000509197,0.000472388,-0.000144702,0,-6.58E-06,-1.88E-05,-5.85E-06,-9.63E-05,-2.55E-05,-8.09E-05,-0.000339756,-0.000173971,-0.000240065,-0.000357118,-0.000446872
F8,9.91E-05,5.91E-06,0.000226967,0.000322721,0.000554992,3.27E-05,6.58E-06,0,-1.71E-06,7.33E-06,2.73E-06,-5.48E-06,2.32E-05,-0.000134399,-9.61E-05,-0.000202809,-0.000448583,-0.000783689
F9,-5.69E-06,1.74E-05,0.00038898,0.000272525,0.000321715,0.000181686,1.88E-05,1.71E-06,0,0.000458072,8.03E-05,-3.94E-06,-1.08E-05,-0.000102932,-8.31E-05,-0.000228454,-0.000419066,-0.000419618
F10,-1.19E-05,1.33E-05,0.000253157,0.00026451,0.000260881,9.67E-05,5.85E-06,-7.33E-06,-0.000458072,0,3.65E-05,-1.93E-05,-8.61E-06,-8.98E-05,-7.67E-05,-0.000252905,-0.00038673,-0.000490625
F11,-8.77E-06,0.000462152,0.000507219,0.000395808,0.000243645,0.000153762,9.63E-05,-2.73E-06,-8.03E-05,-3.65E-05,0,-1.22E-05,-9.60E-05,-6.82E-05,-0.000149641,-0.000271169,-0.000334298,-0.000367187
F12,-1.72E-05,1.62E-05,0.000134719,9.38E-05,5.58E-05,0.00021907,2.55E-05,5.48E-06,3.94E-06,1.93E-05,1.22E-05,0,4.94E-05,-0.000278011,-0.000126042,-0.000279863,-0.000306728,-0.000285266
F13,2.37E-06,0.000288953,0.000174018,0.000164549,0.000209978,9.51E-05,8.09E-05,-2.32E-05,1.08E-05,8.61E-06,9.60E-05,-4.94E-05,0,-3.65E-05,-9.42E-05,-0.000315412,-0.00030028,-0.000266051
F14,-1.68E-05,1.55E-05,0.000103509,5.60E-05,0.000165654,0.000116386,0.000339756,0.000134399,0.000102932,8.98E-05,6.82E-05,0.000278011,3.65E-05,0,-7.24E-05,-0.000341241,-0.000248894,-0.000220671
F15,0.000164844,0.00019146,8.54E-05,6.16E-05,0.000108901,6.28E-05,0.000173971,9.61E-05,8.31E-05,7.67E-05,0.000149641,0.000126042,9.42E-05,7.24E-05,0,-0.000365096,-0.000237599,-0.000228316
F16,6.91E-05,0.000204967,0.00022063,0.000218884,0.000251184,0.00022195,0.000240065,0.000202809,0.000228454,0.000252905,0.000271169,0.000279863,0.000315412,0.000341241,0.000365096,0,0,0
F17,6.10E-05,0.000461022,0.000292715,0.000280462,0.000311119,0.000351008,0.000357118,0.000448583,0.000419066,0.00038673,0.000334298,0.000306728,0.00030028,0.000248894,0.000237599,0,0,0
F18,6.20E-05,0.000568702,0.000314102,0.000301355,0.000292546,0.000401502,0.000446872,0.000783689,0.000419618,0.000490625,0.000367187,0.000285266,0.000266051,0.000220671,0.000228316,0,0,0
